CLI,COMPARE LOGICAL (immediate),SI,C,,,A,,,,,B1,,95,7-135,,
CLIB,COMPARE LOGICAL IMMEDIATE AND BRANCH,RIS,,GE,¤9,,,,B,,,,ECFF,7-137,,
CLIH,COMPARE LOGICAL IMMEDIATE HIGH (32),RIL-a,C,HW,,,,,,,,,CCF,7-141,,
CLIJ,COMPARE LOGICAL IMMEDIATE AND BRANCH,RIE-c,,GE,¤10,,,,B,,,,EC7F,7-137,,
CLIY,COMPARE LOGICAL (immediate),SIY,C,LD,,A,,,,,B1,,EB55,7-135,,
CLM,COMPARE LOGICAL CHAR. UNDER MASK (low),RS-b,C,,,A,,,,,,B2,BD,7-140,,
CLMH,COMPARE LOGICAL CHAR. UNDER MASK (high),RSY-b,C,N,,A,,,,,,B2,EB20,7-140,,
CLMY,COMPARE LOGICAL CHAR. UNDER MASK (low),RSY-b,C,LD,,A,,,,,,B2,EB21,7-140,,
CLR,COMPARE LOGICAL (32),RR,C,,,,,,,,,,15,7-135,,
CLRB,COMPARE LOGICAL AND BRANCH (32),RRS,,GE,¤9,,,,B,,,,ECF7,7-137,,
CLRJ,COMPARE LOGICAL AND BRANCH RELATIVE (32),RIE-b,,GE,¤10,,,,B,,,,EC77,7-137,,
